Team,Conference,Week,Wins,Losses,Ties,Points,GF,GA,EV_Goals,PP_Goals,SH_Goals,EN_Goals,EV_GA,PP_GA,SH_GA,EN_GA,PIM,PP_Min,SF,SA,Mecca_Wins,Mecca_L,Mecca_T,Medina_Wins,Medina_L,Medina_T,Win_Against,Loss_Against,Tie_Against,Star1,Star2,Star3,Shutout,Shutout_By,Shutout_Against,Opponent,GF_1stHalf,GF_2ndHalf,GA_1stHalf,GA_2ndHalf
YAQEEN,Mecca,1,1,0,0,2,6,0,6,0,0,0,0,0,0,0,8,0,16,15,1,0,0,0,0,0,Emaan,,,Nadeem Faqiri,Yasir Hussain,Emmad Khawaja,1,,Emaan,Emaan,4,2,0,0
EMAAN,Mecca,1,0,1,0,0,0,6,0,0,0,0,6,0,0,0,0,8,15,16,0,1,0,0,0,0,,Yaqeen,,,,,2,Yaqeen,,Yaqeen,0,0,4,2
SABR,Medina,1,1,0,0,2,4,2,4,0,0,0,2,0,0,0,6,2,20,15,0,0,0,1,0,0,Ihsan,,,Waqar Khan,,,0,,,Ihsan,1,3,0,2
IHSAN,Medina,1,0,1,0,0,2,4,2,0,0,0,4,0,0,0,2,6,15,20,0,0,0,0,0,0,,Sabr,,,Haris Mallick,Ijaz Chaudhry,0,,,Sabr,0,2,1,3
RIDHA,Medina,1,1,0,0,2,4,0,3,0,1,0,0,0,0,0,2,0,21,10,0,0,0,1,0,0,Haya,,,Abdu Sharkawy,Ali Khwaja,Mohammad Bilal,1,,Haya,Haya,1,3,0,0
HAYA,Medina,1,0,1,0,0,0,4,0,0,0,0,3,0,1,0,0,2,10,21,0,0,0,0,1,0,,Ridha,,,,,2,Ridha,,Ridha,0,0,1,3
SHUKR,Mecca,1,0,0,1,1,2,2,1,1,0,0,1,1,0,0,6,4,17,19,0,0,1,0,0,0,,,Ikhlas,Mehmed Rizvanovic,,,0,,,Ikhlas,1,1,2,1
IKHLAS,Mecca,1,0,0,1,1,2,2,1,1,0,0,1,1,0,0,4,6,19,17,0,0,1,0,0,0,,,Shukr,,David Ciombor,Akib Malik,0,,,Shukr,2,0,1,1
IKHLAS,Mecca,2,0,1,0,0,1,3,0,1,0,0,1,2,0,0,18,4,16,12,0,1,0,0,0,0,,Emaan,,,David Ciombor,,0,,,Emaan,0,1,1,2
EMAAN,Mecca,2,1,0,0,2,3,1,1,2,0,0,0,1,0,0,4,18,12,16,1,0,0,0,0,0,Ikhlas,,,Aazar Zafar,,Hany Soliman,0,,,Ikhlas,1,2,0,1
